idSerie,título,año de lanzamiento,resumen
1,Amor Infinito,2021,Es una serie que te volvera loco de amor
2,Viajes Estelares,2021,Una serie de ciencia ficción sobre exploraciones espaciales y descubrimientos en galaxias distantes
3,Historias de Marte,2023,Una mirada al futuro donde la humanidad ha colonizado Marte y las luchas políticas que siguen
4,The Crown,2016,La historia del reinado de la reina Isabel II del Reino Unido
5,Black Mirror,2011,Serie antológica que narra la inquietud colectiva sobre el mundo moderno con cada episodio explorando temas tecnológicos sombríos
6,The Witcher,2019,Geralt de Rivia es un cazador de monstruos mutante lucha por encontrar su lugar en un mundo donde las personas a menudo resultan más perversas que las bestias
7,Peaky Blinders,2013,Una familia de gánsteres asentada en Birmingham justo después de la Primera Guerra Mundial dirige una organización delictiva en el apogeo de la revolución industrial
8,The Mandalorian,2019,Las aventuras de un pistolero solitario en los confines de la galaxia lejos de la autoridad de la Nueva República
9,The Office,2005,Un grupo de oficinistas típicos donde la jornada laboral consiste en choques de ego comportamiento inapropiado y tedio
10,Sherlock,2010,Un moderno update encuentra al famoso detective y a su compañero doctor enfrentando crimen en el Londres del siglo XXI
